,Arrest,Arrest,Ward,Ward,Community Area,Community Area
,mean,count,mean,count,mean,count
Primary Type,,,,,,
ARSON,0.07420494699646643,283,22.335689045936395,283,40.14134275618375,283
ASSAULT,0.1794137363641904,16409,21.612529709305868,16409,39.85410445487233,16409
BATTERY,0.20392976375544739,39239,21.9034888758633,39239,38.993501363439435,39239
BURGLARY,0.05194980434489273,7411,22.71812171097018,7411,38.0398056942383,7411
CONCEALED CARRY LICENSE VIOLATION,0.9719101123595506,178,22.06741573033708,178,51.29775280898876,178
CRIM SEXUAL ASSAULT,0.053557154276578735,1251,24.412470023980816,1251,34.554756195043964,1251
CRIMINAL DAMAGE,0.0619734399543053,21009,22.468513494216765,21009,38.550383169118,21009
CRIMINAL TRESPASS,0.5554729604162795,5381,23.980858576472773,5381,36.01245121724587,5381
DECEPTIVE PRACTICE,0.048965128452927435,12417,26.410807763549972,12417,31.776193927679795,12417
GAMBLING,1.0,129,22.968992248062015,129,36.41085271317829,129
HOMICIDE,0.17412935323383086,402,19.84825870646766,402,42.06716417910448,402
HUMAN TRAFFICKING,0.0,10,19.6,10,42.0,10
INTERFERENCE WITH PUBLIC OFFICER,0.9612648221343874,1265,19.159683794466403,1265,43.44822134387352,1265
INTIMIDATION,0.043478260869565216,138,23.579710144927535,138,37.210144927536234,138
KIDNAPPING,0.06870229007633588,131,22.396946564885496,131,39.458015267175576,131
LIQUOR LAW VIOLATION,0.9893048128342246,187,24.727272727272727,187,29.27807486631016,187
MOTOR VEHICLE THEFT,0.05336393630755989,6971,23.094534500071727,6971,36.739779084779805,6971
NARCOTICS,0.9993654247121748,11031,23.022844710361706,11031,35.889583899918414,11031
NON-CRIMINAL,0.0,4,15.75,4,40.0,4
OBSCENITY,0.9047619047619048,42,25.30952380952381,42,29.261904761904763,42
OFFENSE INVOLVING CHILDREN,0.11403508771929824,1824,20.156798245614034,1824,42.02357456140351,1824
OTHER NARCOTIC VIOLATION,0.5,4,31.5,4,22.75,4
OTHER OFFENSE,0.22049642150144663,13134,21.557103700319782,13134,40.135373838891425,13134
PROSTITUTION,1.0,539,22.608534322820038,539,33.42115027829313,539
PUBLIC INDECENCY,1.0,9,25.77777777777778,9,41.77777777777778,9
PUBLIC PEACE VIOLATION,0.6918138041733547,1246,23.37239165329053,1246,36.097110754414125,1246
ROBBERY,0.08108108108108109,6068,22.1840804218853,6068,36.72874093605801,6068
SEX OFFENSE,0.12257405515832483,979,24.18488253319714,979,35.62104187946885,979
STALKING,0.12429378531073447,177,22.531073446327685,177,37.23163841807909,177
THEFT,0.09725359397099491,47371,25.76895146819784,47371,31.872516940744337,47371
WEAPONS VIOLATION,0.6674589027530204,5049,19.17548029312735,5049,44.599920776391365,5049
